	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx115	0.41004604	0.4995257	1.105896e-09	1.1058349e-09	0.060215954	0.025920732	1.1060922e-09	1.1061366e-09	1.1065291e-09	1.1058603e-09	0.0042915004
Spotx116	3.9507328e-10	0.07600723	3.9490824e-10	3.950981e-10	3.9511772e-10	0.010935724	0.030786429	0.21310797	0.65499556	3.9507178e-10	0.0141671235
Spotx117	9.246491e-10	9.240743e-10	9.240532e-10	0.18181746	9.245698e-10	9.245698e-10	0.8181825	9.241554e-10	9.2463326e-10	9.245645e-10	9.244974e-10
Spotx118	0.007134988	7.008942e-10	0.06256905	0.25355354	0.061140228	0.41433117	0.06732595	7.01163e-10	0.061830077	0.06726581	0.0048492313
Spotx119	0.09338803	0.03198859	0.14355515	4.83545e-10	4.837673e-10	4.837848e-10	0.008484562	0.32286075	0.37829885	4.835726e-10	0.021424051
Spotx120	0.068974994	6.9808653e-10	0.16070206	6.9839684e-10	6.98257e-10	6.9807715e-10	0.7388396	6.9813577e-10	0.031483334	6.9828765e-10	6.9826234e-10
Spotx121	0.11676222	1.14808e-09	1.1485289e-09	1.1485223e-09	1.1484894e-09	1.1481041e-09	0.8832377	1.1485706e-09	1.1485136e-09	1.1484851e-09	1.1479113e-09
Spotx122	3.1847275e-10	0.16429903	3.183956e-10	3.1840655e-10	3.184624e-10	0.26568624	3.1843567e-10	0.2771643	0.2811318	3.184181e-10	0.011718657
Spotx123	5.2735855e-10	0.2006678	0.0060776975	0.3283946	5.2749943e-10	0.107703336	5.27594e-10	0.093716346	0.25387326	5.2765736e-10	0.009567031
Spotx124	5.035742e-10	0.042797364	5.0350124e-10	0.34121644	5.0337734e-10	0.3099485	0.1876915	5.0357807e-10	5.034782e-10	0.116191044	0.002155115
Spotx125	0.0613677	0.12796229	1.4355198e-09	0.35041305	1.4355555e-09	0.18024242	1.4353391e-09	1.4352816e-09	1.4356869e-09	0.27884266	0.001171892
Spotx126	0.18623117	0.0479485	0.12418378	0.29059687	7.723956e-10	7.7207296e-10	0.24224809	0.065374024	7.721658e-10	0.04201964	0.0013979562
Spotx127	0.102308325	0.2888194	0.10553063	0.048056602	4.5971837e-10	0.17643431	0.033068962	0.029248687	0.20890163	4.5969561e-10	0.0076315533
Spotx128	0.4561474	1.5300453e-09	0.15961744	1.529952e-09	0.14435302	0.21244065	1.5298964e-09	1.5300862e-09	1.5301037e-09	1.5302001e-09	0.027441505
